civicgit_api  | INFO:     Will watch for changes in these directories: ['/app']
civicgit_api  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
civicgit_api  | INFO:     Started reloader process [1] using WatchFiles
civicgit_api  | INFO:     Started server process [8]
civicgit_api  | INFO:     Waiting for application startup.
civicgit_api  | 2025-11-24 17:43:06,625 - civicgit - INFO - Iniciando CivicGit Backend...
civicgit_api  | 2025-11-24 17:43:06,752 - civicgit - INFO - Tabelas do banco de dados criadas com sucesso!
civicgit_api  | INFO:     Application startup complete.
civicgit_api  | INFO:     172.19.0.1:50498 - "GET /health HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:40848 - "GET /health HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:40852 - "GET /health/db HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:49894 - "GET /health HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:52138 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:52138 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:52138 - "GET /docs HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33084 - "OPTIONS /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "OPTIONS /api/v1/proposals HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "OPTIONS /api/v1/repositories HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33118 - "OPTIONS /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/proposals HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33084 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33124 - "OPTIONS /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33084 - "GET /api/v1/proposals HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33124 - "OPTIONS /api/v1/proposals/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "OPTIONS /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33118 - "OPTIONS /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/proposals/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33118 - "GET /api/v1/proposals/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33118 - "GET /api/v1/proposals HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/proposals HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/proposals HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33118 - "GET /api/v1/proposals HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/proposals/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/proposals/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/proposals/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/proposals/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33124 - "GET /api/v1/repositories HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/repositories/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "OPTIONS /api/v1/admin/metrics HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33108 - "OPTIONS /api/v1/users HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "OPTIONS /api/v1/admin/repositories HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57488 - "OPTIONS /api/v1/admin/proposals HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57500 - "OPTIONS /api/v1/admin/issues HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33124 - "OPTIONS /api/v1/admin/activity HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:33100 - "GET /api/v1/users HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:57508 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57508 - "GET /api/v1/users HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:57508 - "OPTIONS /api/v1/users/ HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57508 - "GET /api/v1/auth/me HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57508 - "GET /api/v1/users HTTP/1.1" 307 Temporary Redirect
civicgit_api  | INFO:     172.19.0.1:57488 - "GET /api/v1/admin/repositories HTTP/1.1" 200 OK
civicgit_api  | INFO:     172.19.0.1:57508 - "OPTIONS /api/v1/users/ HTTP/1.1" 200 OK
